ds,yhat,yhat_lower,yhat_upper
2024-04-01,195.89885984300403,185.99253488435372,205.8389442642909
2024-04-02,196.01371827763217,186.28131530546094,205.90116216160192
2024-04-03,196.09379832973755,186.1804050713141,205.83851396318278
2024-04-04,196.19744829442175,186.38340047223286,206.2754960842953
2024-04-05,196.3276889806492,186.75088124221477,205.97601447108687
2024-04-08,196.8148397649872,186.75334481977225,207.0913234787318
2024-04-09,196.86051900475843,187.0189870301259,206.47933874207766
2024-04-10,196.87756317732345,187.54159763573668,206.71729575394767
2024-04-11,196.9252345737073,187.3142007208976,207.0015329306333
2024-04-12,197.0072544234123,187.20583483554842,206.79715669775746
2024-04-15,197.39995927083186,187.48760207023668,207.84708809901053
2024-04-16,197.43101487674673,187.98422146779984,206.28973845236416
2024-04-17,197.4414009498305,188.20480845471883,207.1357216776707
2024-04-18,197.489818666162,187.1039664641524,206.9755945997425
2024-04-19,197.57926853723228,187.34529237467981,207.48801427638213
2024-04-22,198.02532272188355,188.2973040082817,208.39017170104972
2024-04-23,198.08109663426833,187.7978623369337,207.76897093322538
2024-04-24,198.11786828040744,188.26418294637656,207.99605312556878
2024-04-25,198.1932707400373,187.94340746421298,207.6910665044933
2024-04-26,198.30928752402008,188.3284144505623,208.7796310744392
2024-04-29,198.82370297781924,189.66951340652886,208.51790478591025
2024-04-30,198.89614587832668,188.8566494619409,208.61961390162338
2024-05-01,198.94572264770304,189.65252882013078,209.01530346400543
2024-05-02,199.02982614343986,190.44430331549128,209.0720298014208
2024-05-03,199.15036830945198,189.58088806742182,208.99426243603418
2024-05-06,199.6550476596541,189.5507368840511,209.75370909054183
2024-05-07,199.71780523651316,189.96834386122825,209.08524645304698
2024-05-08,199.75546251602037,190.14457080568567,209.28854095029115
2024-05-09,199.82615292018144,189.7001328395208,209.5176390541152
2024-05-10,199.9325941840853,190.24619175168198,209.8150838809893
2024-05-13,200.39930843674682,190.9505901429913,209.58463008360587
2024-05-14,200.45361946152025,190.71032038563868,209.96758064811996
2024-05-15,200.48619225602056,191.16258331156018,209.94215988684806
2024-05-16,200.55578925654825,190.9618025498268,210.0320762881994
2024-05-17,200.665644046507,191.79627269330908,209.936272534593
2024-05-20,201.17278922697972,191.1294166090962,210.96186567808562
2024-05-21,201.25095728052005,190.92018388443572,210.87891047519608
2024-05-22,201.31235946973672,191.83476696204588,212.03293410045507
2024-05-23,201.41540992050255,191.9285209036141,210.7789441747487
2024-05-24,201.56286279049047,191.16857794867283,211.4746855505706
2024-05-28,202.32682266040865,192.23872496609397,211.80784363159412
2024-05-29,202.4360649426762,192.81413583210744,212.0295087698941
2024-05-30,202.5865818315201,192.8216727932921,211.63215203408927
2024-05-31,202.7803357678809,192.93030636831696,212.39347389721965
2024-06-03,203.54378981779521,193.68372270826717,213.49625915914856
2024-06-04,203.70463685212795,194.2203675352114,213.13565683193377
2024-06-05,203.84540772347654,194.4451543782596,213.02795888227857
2024-06-06,204.0235709798398,194.07952222321794,213.43964285851226
2024-06-07,204.24112546693985,194.74066297102243,213.8668170055178
2024-06-10,205.05557301996225,194.59750318794735,214.47055677014077
2024-06-11,205.22820936974404,194.86818056602803,214.8829320023753
2024-06-12,205.37926050970074,195.96253543815493,215.52601350525293
2024-06-13,205.56698565585197,195.8577320488167,214.78590635318022
